Class,zID,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Distance_m,Angle,Eye_height_m,Tree_height_m,Tree_type,Notes
Tuesday AM,z5470475,Bell,-33.89278,151.23722,55,17.5,10.1,51,1.6,14.1,Eucalyptus grandis,
Tuesday AM,z5470581,Eulo,-33.89213,151.23704,55,17.5,16.2,39,1.4,14.5,Multi-stem,
Tuesday AM,z5480077,Roma,-33.8927,151.23727,55,17.5,12.7,56,1.5,20.3,Eucalyptus grandis,
Tuesday AM,z5480708,Eulo,-33.89214,151.23704,55,17.5,16.2,38,1.7,14.3,Multi-stem,Multi trunk (with names marked in green)
Tuesday AM,z5518354,Bell,-33.89269,151.23733,55,17.5,7.6,46,1.7,9.5,Eucalyptus grandis,
Tuesday AM,z5518355,Roma,-33.89271,151.23726,55,17.5,11.5,56,1.7,18.7,Eucalyptus grandis,
Monday AM,z5477700,Frankston,-33.8929,151.2365,52,17.2,7.8,54,1.6,12.3,Eucalyptus grandis,
Tuesday AM,z5208077,Bell,-33.89264,151.2372,54,17.2,4.3,62,1.6,9.7,Eucalyptus grandis,
Tuesday AM,z5483211,Cleve,-33.89283,151.23791,54,17.2,10.5,45,1.6,12.1,Eucalyptus grandis,
Monday AM,z5310673,Roma,-33.89265,151.23722,53,16.9,11.7,45,1.7,13.4,Eucalyptus grandis,
Monday AM,z5425493,Roma,-33.8926,151.2373,53,16.9,14.1,48,1.7,17.4,Eucalyptus grandis,
Monday AM,z5478661,Auburn,-33.8926,151.23719,53,16.9,14.1,48,1.65,17.3,Eucalyptus grandis,
Monday PM,z5492140,Bell,-33.89248,151.23714,53,16.9,11,50,1.6,14.7,Eucalyptus grandis,
Tuesday AM,z5191066,Sevenhill,-33.8927,151.2362,53,16.9,6.2,53,1.7,9.9,Eucalyptus grandis,
Monday AM,z5310673,Wagin,-33.89248,151.23729,52,16.6,9.3,45,1.7,11,Eucalyptus grandis,
Monday AM,z5388066,Dover,-33.89248,151.23733,52,16.6,9.2,49,1.66,12.2,Eucalyptus grandis,
Monday AM,z5481585,Miles,-33.89243,151.2369,52,16.6,7.8,54,1.6,12.3,Eucalyptus grandis,
Monday PM,z5476515,Bell,-33.89266,151.23723,52,16.6,8,65,1.74,18.9,Eucalyptus grandis,
Monday PM,z5478298,Frankston,-33.89282,151.23651,52,16.6,9.6,45,2,11.5,Eucalyptus grandis,
Tuesday AM,z5208077,Roma,-33.89267,151.23724,52,16.6,2.4,75,1.6,10.6,Eucalyptus grandis,
Tuesday AM,z5316369,Snowtown,-33.89213,151.23706,52,16.6,16.3,37,1.4,13.7,Eucalyptus grandis,
Tuesday AM,z5482171,Roma,-33.89261,151.23727,52,16.6,8.4,50,1.6,11.6,Eucalyptus grandis,
Monday AM,z5388066,Wagin,-33.89258,151.23723,51,16.2,10.7,56,1.66,17.5,Eucalyptus grandis,
Monday AM,z5397879,Bell,-33.89261,151.23716,51,16.2,13.7,50,1.63,18,Eucalyptus grandis,
Monday AM,z5397879,Roma,-33.89263,151.23729,51,16.2,9.4,60,1.63,17.9,Eucalyptus grandis,
Monday PM,z5525561,Roma,-33.89258,151.23723,51,16.2,15,65,1.59,33.8,Eucalyptus grandis,
Tuesday AM,z5418475,Snowtown,-33.89213,151.23708,51,16.2,6.9,77,1.6,31.5,Eucalyptus grandis,
Tuesday AM,z5481196,Malmsbury,-33.8928,151.23584,51,16.2,6,45,1.6,7.6,Eucalyptus grandis,
Tuesday AM,z5483211,Frankston,-33.89244,151.23702,51,16.2,8.3,39,1.6,8.3,Eucalyptus grandis,
Monday AM,z5310673,Wondai,-33.88248,151.23729,50,15.9,7.8,45,1.7,9.5,Eucalyptus grandis,
Monday AM,z5487573,Geelong,-33.98274,151.23692,50,15.9,7.1,64,1.8,16.4,Eucalyptus grandis,
Tuesday AM,z5418475,Dover,-33.89245,151.23733,50,15.9,6.3,72,1.6,21,Eucalyptus grandis,
Tuesday AM,z5418485,Geelong,-33.89269,151.23695,50,15.9,10.9,57,1.6,18.4,Eucalyptus grandis,
Tuesday AM,z5457302,Greta,-33,151.23721,50,15.9,8,60,1.8,15.7,Eucalyptus grandis,
Tuesday AM,z5476849,Auburn,-33.89264,151.23724,50,15.9,13.3,70,1.6,38.1,Eucalyptus grandis,
Tuesday AM,z5479741,Dover,-33.89268,151.23726,50,15.9,3.1,65,1.6,8.2,Eucalyptus grandis,
Tuesday AM,z5481205,Railton,-33.89253,151.23728,50,15.9,7,55,1.5,11.5,Eucalyptus grandis,
Tuesday AM,z5482171,Railton,-33.89254,151.23725,50,15.9,9.3,55,1.6,14.9,Eucalyptus grandis,
Tuesday AM,z5488725,Geelong,-33.89269,151.23695,50,15.9,10.9,57,1.6,18.4,Eucalyptus grandis,
Tuesday AM,z5488725,Roma,-33.89262,151.23726,50,15.9,4.5,62,1.6,10.1,Eucalyptus grandis,
Monday AM,z5425493,Greta,-33.8926,151.2373,49,15.6,13.8,46,1.7,16,Eucalyptus grandis,
Monday AM,z5478661,Barellan,-33.89266,151.23626,49,15.6,13.8,46,1.65,15.9,Eucalyptus grandis,
Monday AM,z5516576,Gawler,-33.89246,151.23871,49,15.6,13,57,1.8,20,Eucalyptus grandis,
Monday PM,z5476391,Dover,-33.8925,151.23723,49,15.6,2.9,67,1.8,8.6,Eucalyptus grandis,
Monday PM,z5476391,Wagin,-33.89256,151.23729,49,15.6,3.2,77,1.8,16.6,Eucalyptus grandis,
Monday PM,z5495074,Wagin,-33.89254,151.23726,49,15.6,11.4,64,1.62,25,Eucalyptus grandis,
Tuesday AM,z5480645,Dover,-33.8925,151.23731,49,15.6,7.8,58,1.7,14.2,Eucalyptus grandis,
Tuesday AM,z5480708,Snowtown,-33.89214,151.23704,49,15.6,16.2,38,1.7,14.3,Eucalyptus grandis,
Tuesday AM,z5513397,Dover,-33.89254,151.23724,49,15.6,10,55,1.7,15.9,Eucalyptus grandis,
Tuesday AM,z5479741,Wagin,-33.89257,151.23735,48,15.3,5,75,1.6,20.3,Eucalyptus grandis,
Tuesday AM,z5480579,Greta,-33.89256,151.23754,48,15.3,7.9,57,1.6,12.2,Eucalyptus grandis,
Monday AM,z5397879,Greta,-33.89259,151.23722,47,15,9.8,55,1.63,15.6,Eucalyptus grandis,
Monday AM,z5397879,Railton,-33.89244,151.23729,47,15,7.6,57,1.63,13.3,Eucalyptus grandis,
Monday AM,z5479964,Murgon,-33.89302,151.2368,47,15,8.1,41,1.7,8.7,Eucalyptus grandis,
Monday PM,z5492140,Railton,-33.89244,151.23729,47,15,6.1,73,1.6,21.5,Eucalyptus grandis,
Tuesday AM,z5476849,Greta,-33.89263,151.23725,47,15,8.5,60,1.6,16.3,Eucalyptus grandis,
Tuesday AM,z5476849,Railton,-33.8927,151.23715,47,15,6.4,60,1.6,12.7,Eucalyptus grandis,
Tuesday AM,z5480579,Morpeth,-33.89284,151.23689,47,15,7.3,58,1.6,11.7,Eucalyptus grandis,
Tuesday AM,z5482171,Greta,-33.89257,151.23725,47,15,9,60,1.6,17.2,Eucalyptus grandis,
Tuesday AM,z5523350,Malmsbury,-33.89283,151.23599,47,15,5,40,1.7,5.9,Eucalyptus grandis,
Tuesday AM,z5412813,Morpeth,-33.89288,151.23685,47,15.0,6,45,1.7,7.7,Eucalyptus grandis,
Monday AM,z5481059,Geelong,-33.89273,151.23701,46,14.6,8,54,1.9,11,Eucalyptus grandis,
Monday PM,z5482279,Morpeth,-33.89272,151.23684,46,14.6,5.5,54,1.65,9.2,Eucalyptus grandis,
Monday PM,z5541315,Greta,-33.89259,151.23722,46,14.6,9.7,52,1.5,13.9,Eucalyptus grandis,
Tuesday AM,z5480645,Railton,-33.89252,151.23734,46,14.6,9.7,57,1.7,16.6,Eucalyptus grandis,
Tuesday AM,z5488725,Coraki,-33.89293,151.23695,46,14.6,12.9,55,1.6,20,Eucalyptus grandis,
Monday AM,z5416626,Morpeth,-33.89281,151.2368,45,14.3,9,51,1.55,12.7,Eucalyptus grandis,
Monday AM,z5421548,Morpeth,-33.89275,151.23681,45,14.3,7,50,1.9,10.1,Eucalyptus grandis,
Monday PM,z5407744,Geelong,-33.89276,151.23689,45,14.3,7,76,1.6,29.7,Eucalyptus grandis,
Monday PM,z5407744,Morpeth,-33.89282,151.23689,45,14.3,9,47,1.6,11.2,Eucalyptus grandis,
